,Month,mean,median
4,January,23.269823630805096,16.0
3,February,26.082177948735243,17.0
7,March,25.67982920613081,17.0
0,April,25.353993833327962,16.0
8,May,21.543057185152694,15.0
6,June,21.72945101815004,15.0
5,July,21.641450998756152,15.0
1,August,21.592841535872857,15.0
11,September,19.88053220338422,14.0
10,October,18.625675034149587,14.0
9,November,16.92654095972076,13.0
2,December,18.140079595327297,13.0
