,datum,tmax_c,windsnelheid_kmh,neerslag_mm,snow,Start Date,gemiddelde_duur,aantal_ritjes,mediane_duur,dag_van_de_week
323,2021-11-20,10.7,8.4,0.1,0.0,2021-11-20,21.2,33893,15,Saturday
324,2021-11-21,7.4,18.1,0.0,0.0,2021-11-21,20.6,26377,14,Sunday
325,2021-11-22,7.9,14.5,0.0,0.0,2021-11-22,15.2,29583,12,Monday
326,2021-11-23,7.2,6.9,0.0,0.0,2021-11-23,14.9,33219,12,Tuesday
327,2021-11-24,5.8,5.1,0.5,0.0,2021-11-24,15.1,32693,12,Wednesday
328,2021-11-25,4.7,13.0,0.0,0.0,2021-11-25,15.2,32514,12,Thursday
329,2021-11-26,6.8,21.1,1.5,0.0,2021-11-26,17.8,31291,13,Friday
330,2021-11-27,3.7,29.9,2.5,0.0,2021-11-27,17.5,17092,12,Saturday
331,2021-11-28,2.0,20.1,0.0,0.0,2021-11-28,19.5,20284,13,Sunday
332,2021-11-29,3.7,12.9,0.0,0.0,2021-11-29,14.8,25138,12,Monday
333,2021-11-30,10.1,21.6,0.7,0.0,2021-11-30,14.7,31109,12,Tuesday
334,2021-12-01,9.7,25.4,2.1,0.0,2021-12-01,14.9,28615,12,Wednesday
335,2021-12-02,3.0,16.6,0.0,0.0,2021-12-02,15.2,29580,12,Thursday
336,2021-12-03,7.8,9.6,1.4,0.0,2021-12-03,16.2,28500,12,Friday
337,2021-12-04,6.0,19.0,2.6,0.0,2021-12-04,20.4,27336,14,Saturday
338,2021-12-05,5.1,25.1,5.1,0.0,2021-12-05,17.8,16014,12,Sunday
339,2021-12-06,5.4,12.9,2.2,0.0,2021-12-06,14.7,23099,12,Monday
340,2021-12-07,6.3,19.2,10.2,0.0,2021-12-07,14.1,22831,12,Tuesday
341,2021-12-08,6.4,25.3,0.0,0.0,2021-12-08,14.9,29314,12,Wednesday
342,2021-12-09,6.6,15.6,3.6,0.0,2021-12-09,15.3,28579,12,Thursday
343,2021-12-10,6.5,23.2,8.4,0.0,2021-12-10,16.6,27976,12,Friday
344,2021-12-11,9.0,12.3,2.2,0.0,2021-12-11,19.5,21416,13,Saturday
345,2021-12-12,11.8,16.1,0.2,0.0,2021-12-12,19.3,22151,14,Sunday
346,2021-12-13,10.2,14.5,0.1,0.0,2021-12-13,15.8,24839,12,Monday
347,2021-12-14,11.2,12.7,0.0,0.0,2021-12-14,15.2,27244,12,Tuesday
348,2021-12-15,11.0,11.3,0.6,0.0,2021-12-15,17.2,27691,12,Wednesday
349,2021-12-16,9.8,6.2,0.0,0.0,2021-12-16,17.2,26489,12,Thursday
350,2021-12-17,7.8,9.3,0.0,0.0,2021-12-17,18.2,24441,13,Friday
351,2021-12-18,7.7,11.5,0.0,0.0,2021-12-18,21.6,25329,15,Saturday
352,2021-12-19,6.6,8.9,0.7,0.0,2021-12-19,20.0,17056,14,Sunday
353,2021-12-20,6.0,9.7,0.1,0.0,2021-12-20,18.8,19225,13,Monday
354,2021-12-21,4.3,6.6,0.0,0.0,2021-12-21,17.6,18420,13,Tuesday
355,2021-12-22,2.9,10.8,0.0,0.0,2021-12-22,17.6,16890,13,Wednesday
356,2021-12-23,9.4,13.0,0.0,0.0,2021-12-23,18.3,16197,13,Thursday
357,2021-12-24,8.5,9.3,8.0,0.0,2021-12-24,17.9,10084,12,Friday
358,2021-12-25,7.7,15.1,1.9,0.0,2021-12-25,37.6,14852,22,Saturday
359,2021-12-26,8.5,10.0,5.1,0.0,2021-12-26,25.7,8160,17,Sunday
360,2021-12-27,9.5,12.0,3.5,0.0,2021-12-27,21.6,9066,14,Monday
361,2021-12-28,9.8,22.2,1.0,0.0,2021-12-28,21.0,13513,15,Tuesday
362,2021-12-29,13.4,17.4,2.4,0.0,2021-12-29,21.9,15282,14,Wednesday
363,2021-12-30,13.7,24.2,0.6,0.0,2021-12-30,21.4,19174,14,Thursday
364,2021-12-31,13.7,20.4,2.2,0.0,2021-12-31,20.6,20726,15,Friday
