,Month,gem_temp,gem_neerslag,gem_windkracht
4,January,5.083870967741936,3.629032258064516,14.858064516129033
3,February,7.021428571428571,1.725,15.328571428571427
7,March,10.296774193548387,0.9225806451612903,15.696774193548386
0,April,10.393333333333334,0.26666666666666666,12.666666666666666
8,May,13.812903225806451,2.448387096774194,15.016129032258064
6,June,20.573333333333334,2.9466666666666668,12.293333333333333
5,July,21.683870967741935,2.4967741935483874,12.651612903225805
1,August,19.40967741935484,1.9258064516129034,14.148387096774194
11,September,19.973333333333336,1.78,12.033333333333333
10,October,14.825806451612904,3.5290322580645164,14.425806451612903
9,November,9.35,0.25666666666666665,13.41
2,December,8.235483870967743,2.070967741935484,15.01290322580645
